Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2012-03-06,12.503812789916992,12.690078536883432,12.281496096045837,12.417689738733287,2105631
2012-03-07,12.336779594421387,12.47377430070305,12.2734888373521,12.378038284900724,2223342
2012-03-09,12.491798400878906,12.729736812928293,12.381641112317864,12.403271533237005,1796751
2012-03-12,12.55549144744873,12.73734978926497,12.425705873939263,12.537865340310088,1561923
2012-03-13,12.835083961486816,12.905984702654168,12.555485312381764,12.578316869863803,3389463
2012-03-14,13.061806678771973,13.138717684688057,12.842295427745176,12.859119001175927,7436286
2012-03-15,13.054598808288574,13.210821618553602,12.938033407033972,13.058604637739636,6704280
2012-03-16,12.749763488769531,13.339001545749136,12.53786074107129,13.202807903945073,11282040
2012-03-19,12.51823616027832,12.80824885585517,12.17735033438649,12.465761000613568,2161368
2012-03-20,12.536665916442871,12.73775242255168,12.305536435373893,12.73775242255168,1831797
2012-03-21,12.749763488769531,12.802638008850124,12.417689658188994,12.481781406651297,1035639
2012-03-22,12.475776672363281,12.887964186392175,12.337580071737595,12.818264557729428,2613105
2012-03-23,12.449336051940918,13.611391878233812,12.378435294135826,12.662039838131598,2324718
2012-03-26,12.269078254699707,12.497804587183962,12.232627177165675,12.459749967819045,1136916
2012-03-27,12.306333541870117,12.49780629569246,12.281498306175374,12.281899191687899,4529151
2012-03-28,12.096834182739258,12.33797738545287,12.057177532597413,12.337577256365437,1479060
2012-03-29,11.92178726196289,12.033145705205904,11.840871160085426,12.033145705205904,2981781
2012-03-30,12.216205596923828,12.225418399981285,11.937007742689946,11.96104196413089,2634192
2012-04-02,12.202982902526855,12.409677907321113,12.14690357194621,12.243841446103357,1328976
2012-04-03,12.168536186218262,12.24143985408749,11.896949147106067,12.217405636307104,1392138
2012-04-04,12.100839614868164,12.216605510480974,12.001098549308427,12.137292207842194,3437874
2012-04-09,12.032343864440918,12.09843778568333,11.872916228571917,11.896951206901289,5187006
2012-04-10,12.062384605407715,12.200581932030566,11.937006537442736,11.979867246189986,4392432
2012-04-11,11.967048645019531,12.045160045267306,11.896949659560557,12.045160045267306,7434999
2012-04-12,11.898955345153809,12.081214565121574,11.858096785458347,11.949426838226472,5162949
2012-04-13,11.997092247009277,12.03234294074267,11.905362081533708,12.00109883281105,1417482
2012-04-16,11.916582107543945,12.097240087280015,11.872919610086349,11.993892525302991,662508
2012-04-17,12.021527290344238,12.049167210602898,11.912972793169427,11.969052891900134,477378
